GallonsPer100Miles,GallonsPer100MilesTo1981,MPG,Cylinders,Displacement100ci,Displacement,Horsepower100,Horsepower,Weight1000lb,Weight,Seconds0to60,Year,Year70To81,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
5,5,20,6,2.25,225,1,100,3.651,3651,17.7,76,1,1,1,0,0,dodge aspen se
5.6,5.6,18,6,2.5,250,0.78,78,3.574,3574,21,76,1,1,1,0,0,ford granada ghia
5.4,5.4,18.5,6,2.5,250,1.1,110,3.645,3645,16.2,76,1,1,1,0,0,pontiac ventura sj
5.7,5.7,17.5,6,2.58,258,0.95,95,3.193,3193,17.8,76,1,1,1,0,0,amc pacer d/l
3.4,3.4,29.5,4,0.97,97,0.71,71,1.825,1825,12.2,76,1,2,0,1,0,volkswagen rabbit
3.1,3.1,32,4,0.85,85,0.7,70,1.99,1990,17,76,1,3,0,0,1,datsun b-210
3.6,3.6,28,4,0.97,97,0.75,75,2.155,2155,16.4,76,1,3,0,0,1,toyota corolla
3.8,3.8,26.5,4,1.4,140,0.72,72,2.565,2565,13.6,76,1,1,1,0,0,ford pinto
5,5,20,4,1.3,130,1.02,102,3.15,3150,15.7,76,1,2,0,1,0,volvo 245
7.7,7.7,13,8,3.18,318,1.5,150,3.94,3940,13.2,76,1,1,1,0,0,plymouth volare premier v8
5.3,5.3,19,4,1.2,120,0.88,88,3.27,3270,21.9,76,1,2,0,1,0,peugeot 504
5.3,5.3,19,6,1.56,156,1.08,108,2.93,2930,15.5,76,1,3,0,0,1,toyota mark ii
6.1,6.1,16.5,6,1.68,168,1.2,120,3.82,3820,16.7,76,1,2,0,1,0,mercedes-benz 280s
6.1,6.1,16.5,8,3.5,350,1.8,180,4.38,4380,12.1,76,1,1,1,0,0,cadillac seville
7.7,7.7,13,8,3.5,350,1.45,145,4.055,4055,12,76,1,1,1,0,0,chevy c10
7.7,7.7,13,8,3.02,302,1.3,130,3.87,3870,15,76,1,1,1,0,0,ford f108
7.7,7.7,13,8,3.18,318,1.5,150,3.755,3755,14,76,1,1,1,0,0,dodge d100
3.2,3.2,31.5,4,0.98,98,0.68,68,2.045,2045,18.5,77,1,3,0,0,1,honda accord cvcc
3.3,3.3,30,4,1.11,111,0.8,80,2.155,2155,14.8,77,1,1,1,0,0,buick opel isuzu deluxe
2.8,2.8,36,4,0.79,79,0.58,58,1.825,1825,18.6,77,1,2,0,1,0,renault 5 gtl
3.9,3.9,25.5,4,1.22,122,0.96,96,2.3,2300,15.5,77,1,1,1,0,0,plymouth arrow gs
3,3,33.5,4,0.85,85,0.7,70,1.945,1945,16.8,77,1,3,0,0,1,datsun f-10 hatchback
5.7,5.7,17.5,8,3.05,305,1.45,145,3.88,3880,12.5,77,1,1,1,0,0,chevrolet caprice classic
5.9,5.9,17,8,2.6,260,1.1,110,4.06,4060,19,77,1,1,1,0,0,oldsmobile cutlass supreme
6.5,6.5,15.5,8,3.18,318,1.45,145,4.14,4140,13.7,77,1,1,1,0,0,dodge monaco brougham
6.7,6.7,15,8,3.02,302,1.3,130,4.295,4295,14.9,77,1,1,1,0,0,mercury cougar brougham
5.7,5.7,17.5,6,2.5,250,1.1,110,3.52,3520,16.4,77,1,1,1,0,0,chevrolet concours
4.9,4.9,20.5,6,2.31,231,1.05,105,3.425,3425,16.9,77,1,1,1,0,0,buick skylark
5.3,5.3,19,6,2.25,225,1,100,3.63,3630,17.7,77,1,1,1,0,0,plymouth volare custom
5.4,5.4,18.5,6,2.5,250,0.98,98,3.525,3525,19,77,1,1,1,0,0,ford granada
6.3,6.3,16,8,4,400,1.8,180,4.22,4220,11.1,77,1,1,1,0,0,pontiac grand prix lj
6.5,6.5,15.5,8,3.5,350,1.7,170,4.165,4165,11.4,77,1,1,1,0,0,chevrolet monte carlo landau
6.5,6.5,15.5,8,4,400,1.9,190,4.325,4325,12.2,77,1,1,1,0,0,chrysler cordoba
6.3,6.3,16,8,3.51,351,1.49,149,4.335,4335,14.5,77,1,1,1,0,0,ford thunderbird
3.4,3.4,29,4,0.97,97,0.78,78,1.94,1940,14.5,77,1,2,0,1,0,volkswagen rabbit custom
4.1,4.1,24.5,4,1.51,151,0.88,88,2.74,2740,16,77,1,1,1,0,0,pontiac sunbird coupe
3.8,3.8,26,4,0.97,97,0.75,75,2.265,2265,18.2,77,1,3,0,0,1,toyota corolla liftback
3.9,3.9,25.5,4,1.4,140,0.89,89,2.755,2755,15.8,77,1,1,1,0,0,ford mustang ii 2+2
3.3,3.3,30.5,4,0.98,98,0.63,63,2.051,2051,17,77,1,1,1,0,0,chevrolet chevette
3,3,33.5,4,0.98,98,0.83,83,2.075,2075,15.9,77,1,1,1,0,0,dodge colt m/m
3.3,3.3,30,4,0.97,97,0.67,67,1.985,1985,16.4,77,1,3,0,0,1,subaru dl
3.3,3.3,30.5,4,0.97,97,0.78,78,2.19,2190,14.1,77,1,2,0,1,0,volkswagen dasher
4.5,4.5,22,6,1.46,146,0.97,97,2.815,2815,14.5,77,1,3,0,0,1,datsun 810
4.7,4.7,21.5,4,1.21,121,1.1,110,2.6,2600,12.8,77,1,2,0,1,0,bmw 320i
4.7,4.7,21.5,3,0.8,80,1.1,110,2.72,2720,13.5,77,1,3,0,0,1,mazda rx-4
2.3,2.3,43.1,4,0.9,90,0.48,48,1.985,1985,21.5,78,1,2,0,1,0,volkswagen rabbit custom diesel
2.8,2.8,36.1,4,0.98,98,0.66,66,1.8,1800,14.4,78,1,1,1,0,0,ford fiesta
3,3,32.8,4,0.78,78,0.52,52,1.985,1985,19.4,78,1,3,0,0,1,mazda glc deluxe
2.5,2.5,39.4,4,0.85,85,0.7,70,2.07,2070,18.6,78,1,3,0,0,1,datsun b210 gx
2.8,2.8,36.1,4,0.91,91,0.6,60,1.8,1800,16.4,78,1,3,0,0,1,honda civic cvcc
5,5,19.9,8,2.6,260,1.1,110,3.365,3365,15.5,78,1,1,1,0,0,oldsmobile cutlass salon brougham
5.2,5.2,19.4,8,3.18,318,1.4,140,3.735,3735,13.2,78,1,1,1,0,0,dodge diplomat
5,5,20.2,8,3.02,302,1.39,139,3.57,3570,12.8,78,1,1,1,0,0,mercury monarch ghia
5.2,5.2,19.2,6,2.31,231,1.05,105,3.535,3535,19.2,78,1,1,1,0,0,pontiac phoenix lj
4.9,4.9,20.5,6,2,200,0.95,95,3.155,3155,18.2,78,1,1,1,0,0,chevrolet malibu
5,5,20.2,6,2,200,0.85,85,2.965,2965,15.8,78,1,1,1,0,0,ford fairmont (auto)
4,4,25.1,4,1.4,140,0.88,88,2.72,2720,15.4,78,1,1,1,0,0,ford fairmont (man)
4.9,4.9,20.5,6,2.25,225,1,100,3.43,3430,17.2,78,1,1,1,0,0,plymouth volare
5.2,5.2,19.4,6,2.32,232,0.9,90,3.21,3210,17.2,78,1,1,1,0,0,amc concord
4.9,4.9,20.6,6,2.31,231,1.05,105,3.38,3380,15.8,78,1,1,1,0,0,buick century special
4.8,4.8,20.8,6,2,200,0.85,85,3.07,3070,16.7,78,1,1,1,0,0,mercury zephyr
5.4,5.4,18.6,6,2.25,225,1.1,110,3.62,3620,18.7,78,1,1,1,0,0,dodge aspen
5.5,5.5,18.1,6,2.58,258,1.2,120,3.41,3410,15.1,78,1,1,1,0,0,amc concord d/l
5.2,5.2,19.2,8,3.05,305,1.45,145,3.425,3425,13.2,78,1,1,1,0,0,chevrolet monte carlo landau
5.6,5.6,17.7,6,2.31,231,1.65,165,3.445,3445,13.4,78,1,1,1,0,0,buick regal sport coupe (turbo)
5.5,5.5,18.1,8,3.02,302,1.39,139,3.205,3205,11.2,78,1,1,1,0,0,ford futura
5.7,5.7,17.5,8,3.18,318,1.4,140,4.08,4080,13.7,78,1,1,1,0,0,dodge magnum xe
3.3,3.3,30,4,0.98,98,0.68,68,2.155,2155,16.5,78,1,1,1,0,0,chevrolet chevette
3.6,3.6,27.5,4,1.34,134,0.95,95,2.56,2560,14.2,78,1,3,0,0,1,toyota corona
3.7,3.7,27.2,4,1.19,119,0.97,97,2.3,2300,14.7,78,1,3,0,0,1,datsun 510
3.2,3.2,30.9,4,1.05,105,0.75,75,2.23,2230,14.5,78,1,1,1,0,0,dodge omni
4.7,4.7,21.1,4,1.34,134,0.95,95,2.515,2515,14.8,78,1,3,0,0,1,toyota celica gt liftback
4.3,4.3,23.2,4,1.56,156,1.05,105,2.745,2745,16.7,78,1,1,1,0,0,plymouth sapporo
4.2,4.2,23.8,4,1.51,151,0.85,85,2.855,2855,17.6,78,1,1,1,0,0,oldsmobile starfire sx
4.2,4.2,23.9,4,1.19,119,0.97,97,2.405,2405,14.9,78,1,3,0,0,1,datsun 200-sx
4.9,4.9,20.3,5,1.31,131,1.03,103,2.83,2830,15.9,78,1,2,0,1,0,audi 5000
5.9,5.9,17,6,1.63,163,1.25,125,3.14,3140,13.6,78,1,2,0,1,0,volvo 264gl
4.6,4.6,21.6,4,1.21,121,1.15,115,2.795,2795,15.7,78,1,2,0,1,0,saab 99gle
6.2,6.2,16.2,6,1.63,163,1.33,133,3.41,3410,15.8,78,1,2,0,1,0,peugeot 604sl
3.2,3.2,31.5,4,0.89,89,0.71,71,1.99,1990,14.9,78,1,2,0,1,0,volkswagen scirocco
3.4,3.4,29.5,4,0.98,98,0.68,68,2.135,2135,16.6,78,1,3,0,0,1,honda accord lx
4.7,4.7,21.5,6,2.31,231,1.15,115,3.245,3245,15.4,79,1,1,1,0,0,pontiac lemans v6
5.1,5.1,19.8,6,2,200,0.85,85,2.99,2990,18.2,79,1,1,1,0,0,mercury zephyr 6
4.5,4.5,22.3,4,1.4,140,0.88,88,2.89,2890,17.3,79,1,1,1,0,0,ford fairmont 4
5,5,20.2,6,2.32,232,0.9,90,3.265,3265,18.2,79,1,1,1,0,0,amc concord dl 6
4.9,4.9,20.6,6,2.25,225,1.1,110,3.36,3360,16.6,79,1,1,1,0,0,dodge aspen 6
5.9,5.9,17,8,3.05,305,1.3,130,3.84,3840,15.4,79,1,1,1,0,0,chevrolet caprice classic
5.7,5.7,17.6,8,3.02,302,1.29,129,3.725,3725,13.4,79,1,1,1,0,0,ford ltd landau
6.1,6.1,16.5,8,3.51,351,1.38,138,3.955,3955,13.2,79,1,1,1,0,0,mercury grand marquis
5.5,5.5,18.2,8,3.18,318,1.35,135,3.83,3830,15.2,79,1,1,1,0,0,dodge st. regis
5.9,5.9,16.9,8,3.5,350,1.55,155,4.36,4360,14.9,79,1,1,1,0,0,buick estate wagon (sw)
6.5,6.5,15.5,8,3.51,351,1.42,142,4.054,4054,14.3,79,1,1,1,0,0,ford country squire (sw)
5.2,5.2,19.2,8,2.67,267,1.25,125,3.605,3605,15,79,1,1,1,0,0,chevrolet malibu classic (sw)
5.4,5.4,18.5,8,3.6,360,1.5,150,3.94,3940,13,79,1,1,1,0,0,chrysler lebaron town @ country (sw)
3.1,3.1,31.9,4,0.89,89,0.71,71,1.925,1925,14,79,1,2,0,1,0,vw rabbit custom
2.9,2.9,34.1,4,0.86,86,0.65,65,1.975,1975,15.2,79,1,3,0,0,1,maxda glc deluxe
2.8,2.8,35.7,4,0.98,98,0.8,80,1.915,1915,14.4,79,1,1,1,0,0,dodge colt hatchback custom
3.6,3.6,27.4,4,1.21,121,0.8,80,2.67,2670,15,79,1,1,1,0,0,amc spirit dl
3.9,3.9,25.4,5,1.83,183,0.77,77,3.53,3530,20.1,79,1,2,0,1,0,mercedes benz 300d
4.3,4.3,23,8,3.5,350,1.25,125,3.9,3900,17.4,79,1,1,1,0,0,cadillac eldorado
3.7,3.7,27.2,4,1.41,141,0.71,71,3.19,3190,24.8,79,1,2,0,1,0,peugeot 504
4.2,4.2,23.9,8,2.6,260,0.9,90,3.42,3420,22.2,79,1,1,1,0,0,oldsmobile cutlass salon brougham
2.9,2.9,34.2,4,1.05,105,0.7,70,2.2,2200,13.2,79,1,1,1,0,0,plymouth horizon
2.9,2.9,34.5,4,1.05,105,0.7,70,2.15,2150,14.9,79,1,1,1,0,0,plymouth horizon tc3
3.1,3.1,31.8,4,0.85,85,0.65,65,2.02,2020,19.2,79,1,3,0,0,1,datsun 210
2.7,2.7,37.3,4,0.91,91,0.69,69,2.13,2130,14.7,79,1,2,0,1,0,fiat strada custom
3.5,3.5,28.4,4,1.51,151,0.9,90,2.67,2670,16,79,1,1,1,0,0,buick skylark limited
3.5,3.5,28.8,6,1.73,173,1.15,115,2.595,2595,11.3,79,1,1,1,0,0,chevrolet citation
3.7,3.7,26.8,6,1.73,173,1.15,115,2.7,2700,12.9,79,1,1,1,0,0,oldsmobile omega brougham
3,3,33.5,4,1.51,151,0.9,90,2.556,2556,13.2,79,1,1,1,0,0,pontiac phoenix
2.4,2.4,41.5,4,0.98,98,0.76,76,2.144,2144,14.7,80,1,2,0,1,0,vw rabbit
2.6,2.6,38.1,4,0.89,89,0.6,60,1.968,1968,18.8,80,1,3,0,0,1,toyota corolla tercel
3.1,3.1,32.1,4,0.98,98,0.7,70,2.12,2120,15.5,80,1,1,1,0,0,chevrolet chevette
2.7,2.7,37.2,4,0.86,86,0.65,65,2.019,2019,16.4,80,1,3,0,0,1,datsun 310
3.6,3.6,28,4,1.51,151,0.9,90,2.678,2678,16.5,80,1,1,1,0,0,chevrolet citation
3.8,3.8,26.4,4,1.4,140,0.88,88,2.87,2870,18.1,80,1,1,1,0,0,ford fairmont
4.1,4.1,24.3,4,1.51,151,0.9,90,3.003,3003,20.1,80,1,1,1,0,0,amc concord
5.2,5.2,19.1,6,2.25,225,0.9,90,3.381,3381,18.7,80,1,1,1,0,0,dodge aspen
2.9,2.9,34.3,4,0.97,97,0.78,78,2.188,2188,15.8,80,1,2,0,1,0,audi 4000
3.4,3.4,29.8,4,1.34,134,0.9,90,2.711,2711,15.5,80,1,3,0,0,1,toyota corona liftback
3.2,3.2,31.3,4,1.2,120,0.75,75,2.542,2542,17.5,80,1,3,0,0,1,mazda 626
2.7,2.7,37,4,1.19,119,0.92,92,2.434,2434,15,80,1,3,0,0,1,datsun 510 hatchback
3.1,3.1,32.2,4,1.08,108,0.75,75,2.265,2265,15.2,80,1,3,0,0,1,toyota corolla
2.1,2.1,46.6,4,0.86,86,0.65,65,2.11,2110,17.9,80,1,3,0,0,1,mazda glc
3.6,3.6,27.9,4,1.56,156,1.05,105,2.8,2800,14.4,80,1,1,1,0,0,dodge colt
2.5,2.5,40.8,4,0.85,85,0.65,65,2.11,2110,19.2,80,1,3,0,0,1,datsun 210
2.3,2.3,44.3,4,0.9,90,0.48,48,2.085,2085,21.7,80,1,2,0,1,0,vw rabbit c (diesel)
2.3,2.3,43.4,4,0.9,90,0.48,48,2.335,2335,23.7,80,1,2,0,1,0,vw dasher (diesel)
2.7,2.7,36.4,5,1.21,121,0.67,67,2.95,2950,19.9,80,1,2,0,1,0,audi 5000s (diesel)
3.3,3.3,30,4,1.46,146,0.67,67,3.25,3250,21.8,80,1,2,0,1,0,mercedes-benz 240d
2.2,2.2,44.6,4,0.91,91,0.67,67,1.85,1850,13.8,80,1,3,0,0,1,honda civic 1500 gl
3,3,33.8,4,0.97,97,0.67,67,2.145,2145,18,80,1,3,0,0,1,subaru dl
3.4,3.4,29.8,4,0.89,89,0.62,62,1.845,1845,15.3,80,1,2,0,1,0,vokswagen rabbit
3.1,3.1,32.7,6,1.68,168,1.32,132,2.91,2910,11.4,80,1,3,0,0,1,datsun 280-zx
4.2,4.2,23.7,3,0.7,70,1,100,2.42,2420,12.5,80,1,3,0,0,1,mazda rx-7 gs
2.9,2.9,35,4,1.22,122,0.88,88,2.5,2500,15.1,80,1,2,0,1,0,triumph tr7 coupe
3.1,3.1,32.4,4,1.07,107,0.72,72,2.29,2290,17,80,1,3,0,0,1,honda accord
3.7,3.7,27.2,4,1.35,135,0.84,84,2.49,2490,15.7,81,1,1,1,0,0,plymouth reliant
3.8,3.8,26.6,4,1.51,151,0.84,84,2.635,2635,16.4,81,1,1,1,0,0,buick skylark
3.9,3.9,25.8,4,1.56,156,0.92,92,2.62,2620,14.4,81,1,1,1,0,0,dodge aries wagon (sw)
4.3,4.3,23.5,6,1.73,173,1.1,110,2.725,2725,12.6,81,1,1,1,0,0,chevrolet citation
3.3,3.3,30,4,1.35,135,0.84,84,2.385,2385,12.9,81,1,1,1,0,0,plymouth reliant
2.6,2.6,39.1,4,0.79,79,0.58,58,1.755,1755,16.9,81,1,3,0,0,1,toyota starlet
2.6,2.6,39,4,0.86,86,0.64,64,1.875,1875,16.4,81,1,1,1,0,0,plymouth champ
2.8,2.8,35.1,4,0.81,81,0.6,60,1.76,1760,16.1,81,1,3,0,0,1,honda civic 1300
3.1,3.1,32.3,4,0.97,97,0.67,67,2.065,2065,17.8,81,1,3,0,0,1,subaru
2.7,2.7,37,4,0.85,85,0.65,65,1.975,1975,19.4,81,1,3,0,0,1,datsun 210 mpg
2.7,2.7,37.7,4,0.89,89,0.62,62,2.05,2050,17.3,81,1,3,0,0,1,toyota tercel
2.9,2.9,34.1,4,0.91,91,0.68,68,1.985,1985,16,81,1,3,0,0,1,mazda glc 4
2.9,2.9,34.7,4,1.05,105,0.63,63,2.215,2215,14.9,81,1,1,1,0,0,plymouth horizon 4
2.9,2.9,34.4,4,0.98,98,0.65,65,2.045,2045,16.2,81,1,1,1,0,0,ford escort 4w
3.3,3.3,29.9,4,0.98,98,0.65,65,2.38,2380,20.7,81,1,1,1,0,0,ford escort 2h
3,3,33,4,1.05,105,0.74,74,2.19,2190,14.2,81,1,2,0,1,0,volkswagen jetta
3,3,33.7,4,1.07,107,0.75,75,2.21,2210,14.4,81,1,3,0,0,1,honda prelude
3.1,3.1,32.4,4,1.08,108,0.75,75,2.35,2350,16.8,81,1,3,0,0,1,toyota corolla
3,3,32.9,4,1.19,119,1,100,2.615,2615,14.8,81,1,3,0,0,1,datsun 200sx
3.2,3.2,31.6,4,1.2,120,0.74,74,2.635,2635,18.3,81,1,3,0,0,1,mazda 626
3.6,3.6,28.1,4,1.41,141,0.8,80,3.23,3230,20.4,81,1,2,0,1,0,peugeot 505s turbo diesel
3.3,3.3,30.7,6,1.45,145,0.76,76,3.16,3160,19.6,81,1,2,0,1,0,volvo diesel
3.9,3.9,25.4,6,1.68,168,1.16,116,2.9,2900,12.6,81,1,3,0,0,1,toyota cressida
4.1,4.1,24.2,6,1.46,146,1.2,120,2.93,2930,13.8,81,1,3,0,0,1,datsun 810 maxima
4.5,4.5,22.4,6,2.31,231,1.1,110,3.415,3415,15.8,81,1,1,1,0,0,buick century
3.8,3.8,26.6,8,3.5,350,1.05,105,3.725,3725,19,81,1,1,1,0,0,oldsmobile cutlass ls
5,5,20.2,6,2,200,0.88,88,3.06,3060,17.1,81,1,1,1,0,0,ford granada gl
5.7,5.7,17.6,6,2.25,225,0.85,85,3.465,3465,16.6,81,1,1,1,0,0,chrysler lebaron salon
3.6,,28,4,1.12,112,0.88,88,2.605,2605,19.6,82,0,1,1,0,0,chevrolet cavalier
3.7,,27,4,1.12,112,0.88,88,2.64,2640,18.6,82,0,1,1,0,0,chevrolet cavalier wagon
2.9,,34,4,1.12,112,0.88,88,2.395,2395,18,82,0,1,1,0,0,chevrolet cavalier 2-door
3.2,,31,4,1.12,112,0.85,85,2.575,2575,16.2,82,0,1,1,0,0,pontiac j2000 se hatchback
3.4,,29,4,1.35,135,0.84,84,2.525,2525,16,82,0,1,1,0,0,dodge aries se
3.7,,27,4,1.51,151,0.9,90,2.735,2735,18,82,0,1,1,0,0,pontiac phoenix
4.2,,24,4,1.4,140,0.92,92,2.865,2865,16.4,82,0,1,1,0,0,ford fairmont futura
2.8,,36,4,1.05,105,0.74,74,1.98,1980,15.3,82,0,2,0,1,0,volkswagen rabbit l
2.7,,37,4,0.91,91,0.68,68,2.025,2025,18.2,82,0,3,0,0,1,mazda glc custom l
3.2,,31,4,0.91,91,0.68,68,1.97,1970,17.6,82,0,3,0,0,1,mazda glc custom
2.6,,38,4,1.05,105,0.63,63,2.125,2125,14.7,82,0,1,1,0,0,plymouth horizon miser
2.8,,36,4,0.98,98,0.7,70,2.125,2125,17.3,82,0,1,1,0,0,mercury lynx l
2.8,,36,4,1.2,120,0.88,88,2.16,2160,14.5,82,0,3,0,0,1,nissan stanza xe
2.8,,36,4,1.07,107,0.75,75,2.205,2205,14.5,82,0,3,0,0,1,honda accord
2.9,,34,4,1.08,108,0.7,70,2.245,2245,16.9,82,0,3,0,0,1,toyota corolla
2.6,,38,4,0.91,91,0.67,67,1.965,1965,15,82,0,3,0,0,1,honda civic
3.1,,32,4,0.91,91,0.67,67,1.965,1965,15.7,82,0,3,0,0,1,honda civic (auto)
2.6,,38,4,0.91,91,0.67,67,1.995,1995,16.2,82,0,3,0,0,1,datsun 310 gx
4,,25,6,1.81,181,1.1,110,2.945,2945,16.4,82,0,1,1,0,0,buick century limited
2.6,,38,6,2.62,262,0.85,85,3.015,3015,17,82,0,1,1,0,0,oldsmobile cutlass ciera (diesel)
3.8,,26,4,1.56,156,0.92,92,2.585,2585,14.5,82,0,1,1,0,0,chrysler lebaron medallion
4.5,,22,6,2.32,232,1.12,112,2.835,2835,14.7,82,0,1,1,0,0,ford granada l
3.1,,32,4,1.44,144,0.96,96,2.665,2665,13.9,82,0,3,0,0,1,toyota celica gt
2.8,,36,4,1.35,135,0.84,84,2.37,2370,13,82,0,1,1,0,0,dodge charger 2.2
3.7,,27,4,1.51,151,0.9,90,2.95,2950,17.3,82,0,1,1,0,0,chevrolet camaro
3.7,,27,4,1.4,140,0.86,86,2.79,2790,15.6,82,0,1,1,0,0,ford mustang gl
2.3,,44,4,0.97,97,0.52,52,2.13,2130,24.6,82,0,2,0,1,0,vw pickup
3.1,,32,4,1.35,135,0.84,84,2.295,2295,11.6,82,0,1,1,0,0,dodge rampage
3.6,,28,4,1.2,120,0.79,79,2.625,2625,18.6,82,0,1,1,0,0,ford ranger
3.2,,31,4,1.19,119,0.82,82,2.72,2720,19.4,82,0,1,1,0,0,chevy s-10
